ID,sex,group,phase,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,feed.A,feed.B,feed.C,feed.D,total,feed.edge,feed.middle,feed.rewarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,centre,naive,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,1,1,0,A1,A1,A1,A1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,F,centre,naive,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,1,0,0,1,10,11,6,1,0,D1,C1,D4,D2,D2,D1,D2,D3,D2,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,centre,naive,0,1,1,0,1,0,1,0,1,0,0,0,2,2,0,0,2,2,1,4,9,6,3,1,A2,D2,D1,B1,A3,B3,D1,D2,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,F,centre,naive,1,0,0,0,1,1,0,1,0,0,1,0,1,1,2,1,1,3,1,5,10,5,4,2,C3,B2,A1,B1,D2,B4,D4,D3,D1,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,F,centre,naive,0,2,1,1,0,0,0,0,0,0,1,1,4,2,2,1,4,0,2,9,15,8,2,1,D2,D1,A3,C4,D3,C3,D4,A2,D2,D1,D3,A2,A4,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,M,centre,naive,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,2,2,3,7,4,4,2,D3,C3,B3,B4,C4,D4,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,M,centre,naive,1,2,2,1,0,0,0,1,0,0,0,0,2,0,1,1,6,1,0,4,11,6,1,0,B4,D4,D3,D1,A2,A3,A2,A1,D1,A4,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,M,centre,naive,2,1,1,2,2,0,1,2,5,1,0,2,4,1,4,4,6,5,8,13,32,18,13,2,C2,C1,D1,D2,D3,D4,C4,B4,A4,A4,B4,C4,D3,D4,B3,A2,B1,D1,D4,D3,D1,C1,A1,C1,D1,C1,B1,A1,A3,C1,D3,,,,,,,,,,,,,,,,,,,,,,,
24,F,centre,naive,0,2,3,2,1,0,3,2,1,0,1,1,2,0,0,1,7,6,3,3,19,10,9,4,B4,C4,C3,B3,A3,D4,D1,A4,A3,A2,B1,A4,A3,A2,B3,C1,D1,B4,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,F,centre,naive,0,2,2,1,0,0,2,1,0,1,0,2,2,0,0,0,5,3,3,2,13,7,6,3,B4,B3,C4,A3,A2,A3,A4,B3,D1,D1,A2,C2,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,M,centre,naive,0,0,0,1,0,0,2,2,1,1,1,1,0,0,1,3,1,4,4,4,13,5,8,4,C4,D4,D3,C3,D4,B4,A4,B4,B3,B3,D4,C2,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,M,centre,naive,1,2,0,0,0,0,0,1,0,0,1,0,2,3,0,0,3,1,1,5,10,6,2,1,D2,B4,D2,C3,A2,D2,D1,A1,A2,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,centre,naive,0,1,1,1,0,1,2,1,0,1,1,0,0,0,0,0,3,4,2,0,9,3,6,5,B3,B2,B4,C3,C2,A2,A3,B3,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,F,centre,naive,0,0,1,1,3,2,0,0,0,1,1,0,2,0,0,0,2,5,2,2,11,4,7,4,B2,A4,A3,C3,C2,B1,B1,D1,D1,B2,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,F,centre,naive,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,3,0,0,1,9,10,3,1,1,D4,D3,D3,C3,D4,D4,D3,D1,D1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,F,centre,naive,0,0,0,0,0,0,0,1,0,1,1,1,1,3,1,3,0,1,3,8,12,6,4,2,D3,D2,D1,D4,C4,B4,D4,C3,D4,D2,C2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,F,centre,naive,1,2,0,0,4,0,0,0,0,1,2,0,0,1,1,2,3,4,3,4,14,8,7,3,D4,D3,C3,C2,B1,B1,A2,C3,D4,D2,A2,B1,B1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,F,centre,naive,5,1,0,3,3,5,2,0,3,2,0,0,0,2,2,3,9,10,5,7,31,11,15,9,A4,B3,B2,A1,A1,A1,B1,C1,A4,A1,D4,B2,B1,D3,A4,D2,A2,A1,D4,B3,B2,B1,C1,D4,B2,C2,D2,D3,C2,C1,B2,,,,,,,,,,,,,,,,,,,,,,,
37,M,centre,naive,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,3,1,2,6,1,4,4,D3,C3,B2,D1,B3,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,M,centre,naive,3,4,3,2,0,3,1,3,2,1,1,2,1,0,0,2,12,7,6,3,28,14,13,6,C2,B2,A2,D4,C4,B4,A4,A3,A2,A1,A1,C1,A2,B2,C1,A1,A3,B4,D4,C4,B4,A4,A3,B3,C3,B2,A2,D1,,,,,,,,,,,,,,,,,,,,,,,,,,
42,M,centre,naive,1,1,2,0,2,1,2,2,0,1,1,1,1,0,2,2,4,7,3,5,19,10,10,5,B3,A3,D4,C3,B2,B1,A2,A3,C2,D3,B4,B3,D1,B1,A1,C4,B4,D4,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,F,centre,naive,0,0,1,1,0,0,2,1,0,0,3,0,0,1,3,0,2,3,3,4,12,6,6,5,D3,B4,A4,B3,D2,A3,C3,D3,C3,D3,C3,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,M,centre,naive,1,2,3,1,0,2,1,1,0,1,1,1,1,2,1,1,7,4,3,5,19,10,7,5,B3,A3,A4,A3,A2,A3,A2,A1,D3,D2,D1,C4,C3,D4,B4,B2,D2,C2,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F,centre,trained,1,1,5,3,2,1,2,2,2,1,1,0,1,1,2,5,10,7,4,9,30,15,11,5,D4,D3,B2,A2,B1,A3,B3,A4,D4,D2,C1,A4,B4,C1,C3,B3,D4,B4,A3,B1,C2,D4,A3,D3,D1,A1,A3,D4,A4,A3,,,,,,,,,,,,,,,,,,,,,,,,
3,F,centre,trained,0,1,8,5,0,5,4,7,2,0,1,1,0,1,0,2,14,16,4,3,37,20,20,10,A4,A3,B2,D4,C3,B3,A4,B4,D4,C4,A3,A3,B2,D2,B4,A3,B2,A4,A3,B2,C1,B4,A4,A3,A2,B4,A4,C1,B4,B3,B3,B2,B4,A3,A3,B4,B3,,,,,,,,,,,,,,,,,
6,F,centre,trained,1,0,0,5,1,0,1,0,0,0,0,0,1,1,2,3,6,2,0,7,15,4,2,1,D4,D3,D2,A4,D4,D3,A4,A1,B3,D4,A4,D1,B1,A4,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,F,centre,trained,3,3,0,1,0,1,2,0,1,1,1,2,3,5,4,3,7,3,5,15,30,15,8,5,D4,D3,D2,D1,D1,B3,A2,A1,A1,C1,A2,B3,A4,C4,C2,D4,D3,D2,D4,C4,C3,D2,D1,D3,D2,A2,A1,D3,D2,B2,,,,,,,,,,,,,,,,,,,,,,,,
15,F,centre,trained,1,0,1,4,2,1,1,1,3,4,0,1,4,4,3,1,6,5,8,12,31,15,13,6,A4,A3,D2,A4,D3,D3,D2,D1,D2,C2,D1,A4,B4,C4,D4,C2,B1,C1,D2,C2,C1,D1,A4,B3,B1,C2,D3,C1,B2,A1,D1,,,,,,,,,,,,,,,,,,,,,,,
19,M,centre,trained,2,3,2,4,1,0,1,2,1,0,3,4,1,1,2,3,11,4,8,7,30,16,12,4,D4,D3,C3,D3,C3,B3,A3,A4,A4,D4,C4,C4,B1,A1,B4,A4,A4,B4,C3,C4,D4,D2,D1,C1,A2,A2,A3,C4,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,
22,M,centre,trained,5,0,1,4,3,3,3,4,0,0,0,2,2,1,1,1,10,13,2,5,30,12,15,6,B3,B4,C4,D2,A3,B2,B1,A1,B3,B4,A4,B4,B2,A1,B1,B1,B2,B3,A4,A1,A4,D4,A1,B4,A4,C4,D3,D1,D1,A1,,,,,,,,,,,,,,,,,,,,,,,,
23,M,centre,trained,3,1,4,4,2,1,2,2,2,2,2,2,0,2,3,3,12,7,8,8,35,18,15,7,B3,B4,A4,A3,A2,A1,A4,A3,B3,A3,A4,B4,C4,D4,C3,D3,C3,C2,C1,D2,D2,D3,C2,C1,A1,A1,B2,B1,D3,D4,C4,A4,A3,B1,D4,,,,,,,,,,,,,,,,,,,
24,F,centre,trained,0,3,4,6,1,2,4,1,1,1,2,1,0,1,2,1,13,8,5,4,30,14,13,9,A4,A3,A2,A3,A4,A3,A4,B3,B2,B1,C1,C4,C3,B3,A4,B4,A4,A2,D4,D3,D2,C3,B3,D3,C2,B2,A3,A4,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,
25,F,centre,trained,3,1,2,1,1,0,2,0,0,1,1,1,4,0,0,3,7,3,3,7,20,5,6,4,A1,B1,D1,C2,A3,D4,C4,D1,D1,C3,B3,D1,D4,D4,A2,A1,A1,A4,A3,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,M,centre,trained,0,1,1,3,0,2,1,2,0,4,3,1,0,1,2,2,5,5,8,5,23,8,13,10,D2,B2,A2,A4,C2,C2,C2,B3,B4,A4,C3,D4,D3,D4,D3,C3,C2,C3,A3,B2,B4,A4,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,M,centre,trained,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,2,0,A2,B1,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,centre,trained,0,1,2,2,0,0,0,3,0,1,2,3,0,0,1,5,5,3,6,6,20,10,9,3,C4,A3,D4,A2,C4,A4,C3,A3,D4,D3,B4,A4,D4,C2,D4,C3,C4,B4,D4,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
