ID,sex,group,phase,reward,feed.A,feed.B,feed.C,feed.D,feed.total,feed.edge,feed.middle,feed.rewarding,feed.RW.side,feed.centre,feed.nonreward.edge,prop.RW,feed.A.D,feed.B1.C1.B4.C4
1,F,centre,naive,centre,4,1,0,0,5,1,1,0,,0,,0,4,1
3,F,centre,naive,centre,0,0,1,10,11,6,1,0,,0,,0,10,1
6,F,centre,naive,centre,2,2,1,4,9,6,3,1,,1,,0.111111111,6,2
12,F,centre,naive,centre,1,3,1,5,10,5,4,2,,2,,0.2,6,2
15,F,centre,naive,centre,4,0,2,9,15,8,2,1,,1,,0.066666667,13,1
19,M,centre,naive,centre,0,2,2,3,7,4,4,2,,2,,0.285714286,3,2
22,M,centre,naive,centre,6,1,0,4,11,6,1,0,,0,,0,10,1
23,M,centre,naive,centre,6,5,8,13,32,18,13,2,,2,,0.0625,19,11
24,F,centre,naive,centre,7,6,3,3,19,10,9,4,,4,,0.210526316,10,5
25,F,centre,naive,centre,5,3,3,2,13,7,6,3,,3,,0.230769231,7,3
26,M,centre,naive,centre,1,4,4,4,13,5,8,4,,4,,0.307692308,5,4
27,M,centre,naive,centre,3,1,1,5,10,6,2,1,,1,,0.1,8,1
28,F,centre,naive,centre,3,4,2,0,9,3,6,5,,5,,0.555555556,3,1
30,F,centre,naive,centre,2,5,2,2,11,4,7,4,,4,,0.363636364,4,3
31,F,centre,naive,centre,0,0,1,9,10,3,1,1,,1,,0.1,9,0
32,F,centre,naive,centre,0,1,3,8,12,6,4,2,,2,,0.166666667,8,2
34,F,centre,naive,centre,3,4,3,4,14,8,7,3,,3,,0.214285714,7,4
35,F,centre,naive,centre,9,10,5,7,31,11,15,9,,9,,0.290322581,16,6
37,M,centre,naive,centre,0,3,1,2,6,1,4,4,,4,,0.666666667,2,0
39,M,centre,naive,centre,12,7,6,3,28,14,13,6,,6,,0.214285714,15,7
42,M,centre,naive,centre,4,7,3,5,19,10,10,5,,5,,0.263157895,9,5
43,F,centre,naive,centre,2,3,3,4,12,6,6,5,,5,,0.416666667,6,1
47,M,centre,naive,centre,7,4,3,5,19,10,7,5,,5,,0.263157895,12,2
1,F,centre,trained,centre,10,7,4,9,30,15,11,5,,5,,0.166666667,19,6
3,F,centre,trained,centre,14,16,4,3,37,20,20,10,,10,,0.27027027,17,10
6,F,centre,trained,centre,6,2,0,7,15,4,2,1,,1,,0.066666667,13,1
12,F,centre,trained,centre,7,3,5,15,30,15,8,5,,5,,0.166666667,22,3
15,F,centre,trained,centre,6,5,8,12,31,15,13,6,,6,,0.193548387,18,7
19,M,centre,trained,centre,11,4,8,7,30,16,12,4,,4,,0.133333333,18,8
22,M,centre,trained,centre,10,13,2,5,30,12,15,6,,6,,0.2,15,9
23,M,centre,trained,centre,12,7,8,8,35,18,15,7,,7,,0.2,20,8
